error,file
"Empty URL field","anchira.to_9001-10000/[Takeuchi Kazuma] The Dirty Triangle.yaml"
"Empty URL field","anchira.to_10001-11000/[Oda Non] Short Stories & Images [FAKKU].yaml"
"Empty URL field","anchira.to_10001-11000/[Satou Saori] Pet Robot Lilly - Chapter 1.yaml"
"Empty URL field","anchira.to_10001-11000/[Satou Saori] Pet Robot Lilly - Chapter 2.yaml"
"Empty Artist field","anchira.to_12001-13000/Bavel 100th Volume Thank You Cover Collage (Comic Bavel 2023-08).yaml"
"Empty Artist field","hentainexus.com_1-17000/[Pine] Screwing My Adorable XX Schooler Sister.yaml"
"Empty Artist field","hentainexus.com_1-17000/[Pine] Sex Island.yaml"
"Empty URL field","hentainexus.com_21001-22000/[Akano Murasaki] FrustRei-chan (Comic Kairakuten BEAST 2025-12).yaml"
"Empty URL field","hentainexus.com_21001-22000/[Guglielmo] Twenty-Year-Old Reunion (Comic Kairakuten 2026-03).yaml"
"Empty URL field","hentainexus.com_21001-22000/[Muronaga Chaashuu] A Promise to Miku (Comic Shitsurakuten 2026-03).yaml"
"Empty URL field","hentainexus.com_21001-22000/[P no Ji] I'm Gonna Pop His Cherry!.yaml"
"Empty URL field","hentainexus.com_21001-22000/[Yanagi] Self-Proclaimed Godlike Artist Yanagi's Compensated Dick Research Manga Finale (Comic Bavel 2026-02).yaml"
"Empty URL field","koharu.to_14001-15000/[Alice no Takarabako (Mizuryu Kei)] MC Academy [Project-H].yaml"
"Empty URL field","koharu.to_14001-15000/[Flage] Heroine of Justice [Project-H].yaml"
"Empty URL field","koharu.to_23001-24000/[Kishizuka Kenji] Konnani Yasashiku Saretano _ Sweet Dreams [Project-H].yaml"
