source,url,file
Fakku,https://www.fakku.net/hentai/20th-anniversary-of-kairakuten-illustration-special-english,"anchira.to_1-1000/[40010 Prototype] 20th Anniversary of Kairakuten Illustration Special (Comic Kairakuten 2015-06).yaml"
Fakku,https://www.fakku.net/hentai/bug-zapper-english,"anchira.to_1-1000/[40010 Prototype] Bug Zapper (Comic Kairakuten 2015-12).yaml"
Fakku,https://www.fakku.net/hentai/dac-dac-bzb-screen-english,"anchira.to_1-1000/[40010 Prototype] Dac Dac ★ Screen (Comic Kairakuten 2016-10).yaml"
Fakku,https://www.fakku.net/hentai/koyori-report-english,"anchira.to_1-1000/[40010 Prototype] Koyori Report (Comic Kairakuten 2016-05).yaml"
Fakku,https://www.fakku.net/hentai/loose-yui-english,"anchira.to_1-1000/[40010 Prototype] Loose Yui (Comic Kairakuten 2015-08).yaml"
Fakku,https://www.fakku.net/hentai/youre-cute-english,"anchira.to_1-1000/[Aimaitei Umami] You're Cute (Comic Shitsurakuten 2016-05).yaml"
Fakku,https://www.fakku.net/hentai/aiue-oka-interview-one-point-advice-corner-48-english,"anchira.to_1-1000/[Aiue Oka] Aiue Oka Interview! One Point Advice Corner #48 (Comic X-Eros #48).yaml"
Fakku,https://www.fakku.net/hentai/deflowered-maiden-english,"anchira.to_1-1000/[Aiue Oka] Deflowered Maiden (Comic X-Eros #43).yaml"
Fakku,https://www.fakku.net/hentai/maiden-in-the-dream-english,"anchira.to_1-1000/[Aiue Oka] Dreaming Maiden (Comic X-Eros #40).yaml"
Fakku,https://www.fakku.net/hentai/girlfriend-next-door-english,"anchira.to_1-1000/[Aiue Oka] Girlfriend Next Door (Comic X-Eros #32).yaml"
Fakku,https://www.fakku.net/hentai/mingling-maidens-english,"anchira.to_1-1000/[Aiue Oka] Mingling Maidens (Comic X-Eros #45).yaml"
Fakku,https://www.fakku.net/hentai/moonflower-english,"anchira.to_1-1000/[Aiue Oka] Moonflower (Comic X-Eros #35).yaml"
Fakku,https://www.fakku.net/hentai/soiled-girlfriend-english,"anchira.to_1-1000/[Aiue Oka] Soiled Girlfriend (Comic X-Eros #37).yaml"
Fakku,https://www.fakku.net/hentai/summer-fuck-english,"anchira.to_1-1000/[Aiue Oka] Summer Fuck (Comic X-Eros #48).yaml"
Fakku,https://www.fakku.net/hentai/amague-chapter-2-dance-is-dead-part-1-english,"anchira.to_1-1000/[AI] Amague! Chapter 3 ＂Dance is Dead＂ Part 2 (FAKKU).yaml"
Fakku,https://www.fakku.net/hentai/amague-chapter-4-english,"anchira.to_1-1000/[AI] Amague! Chapter 4 ＂Dance is Dead＂ Part 3 (FAKKU).yaml"
